date site Q State ID days size T30 L30 T90 L90 T3090 L3090 T_R30 L_R30 T_R90 L_R90 t_phase l_phase no_m phase BBD_p CP_p num_BBD num_cp
2006-10-14 SE_Pelorus SE-Q1 1 BBD.105 35 3 -1.05045248996165 -0.0474934076010902 -1.31388381400044 -0.358858676633027 0.263431324038795 0.311365269031937 0 0.5 0 0.125 r r 1.16666666666667 rr 0 0.020512821 0 4
2006-12-16 SE_Pelorus SE-Q1 1 BBD.105 98 3 0.222132265592223 0.383824643886021 -0.357131558772873 0.281111024663893 0.579263824365095 0.102713619222128 0 0.666666666666667 0 0.451612903225806 r c 3.26666666666667 cr 0.021621622 0.054054054 4 10
2007-01-20 SE_Pelorus SE-Q1 3 BBD.105 133 3 0.876332245477104 0.19937194332214 0.343013428375369 0.392465933030082 0.533318817101735 -0.193093989707942 0.153846153846154 1 0.0465116279069767 1.57142857142857 c c 4.43333333333333 cc 0.089171975 0.025477707 14 4
2007-04-21 SE_Pelorus SE-Q1 1 BBD.105 224 3 0.461474195714969 -0.449290811328401 0.720816210412629 -0.441105381491365 -0.25934201469766 -0.00818542983703596 1.14285714285714 0.666666666666667 3.73684210526316 0.836734693877551 d d 7.46666666666667 dd 0 0.010714286 0 3
2007-05-20 SE_Pelorus SE-Q1 1 BBD.105 253 NA 0.0252650348616315 -0.6871692215168 0.445309554780044 -0.467546891457576 -0.420044519918412 -0.219622330059225 2.33333333333333 1.72727272727273 5 2.6 d t 8.43333333333333 td 0.002915452 0.011661808 1 4
2007-07-15 SE_Pelorus SE-Q1 1 BBD.105 309 NA -1.62529774701202 -1.3602029163437 -0.657938950821159 -1.05935413796322 -0.967358796190866 -0.300848778380481 0.304347826086957 1.30769230769231 2.91304347826087 1.90322580645161 t t 10.3 tt 0 0.009202454 0 3
2007-09-21 SE_Pelorus SE-Q1 1 BBD.105 377 NA -1.15432434233251 -0.291472211181665 -1.59090762000358 -0.781813928483692 0.436583277671075 0.490341717302027 0.5 0.764705882352941 0.125 0.184210526315789 r r 12.5666666666667 rr 0.003984064 0.03187251 1 8
2007-11-23 SE_Pelorus SE-Q1 1 BBD.105 440 3 0.310561272289882 1.22470473568013 -0.357510486128557 0.501497512766922 0.668071758418439 0.723207222913206 1.72727272727273 6.5 0.267605633802817 0.836734693877551 r c 14.6666666666667 cr 0.0078125 0.01953125 2 5
2008-01-21 SE_Pelorus SE-Q1 1 BBD.105 499 3 1.20937228597364 0.439667036540586 0.801871562058842 0.960796300508407 0.407500723914801 -0.521129263967821 6.5 1.5 0.636363636363636 4.29411764705882 c c 16.6333333333333 cc 0.040160643 0.004016064 10 1
2008-02-05 SE_Pelorus SE-Q1 3 BBD.105 514 NA 1.20521670407857 0.330438690058734 0.984605804081454 0.809385779377283 0.220610899997115 -0.478947089318549 1.5 1.5 0.578947368421053 3.73684210526316 c d 17.1333333333333 dc 0.040160643 0.004016064 10 1
2008-03-21 SE_Pelorus SE-Q1 1 BBD.105 559 3 0.61248970066897 0.0396007683675116 0.992700848233923 0.209616858171386 -0.380211147564953 -0.170016089803874 0.2 1.30769230769231 2.33333333333333 1.8125 d d 18.6333333333333 dd 0 0.0041841 0 1
2008-04-11 SE_Pelorus SE-Q1 1 BBD.105 580 3 0.407903192487344 0.134013740481139 0.81074281236883 0.139165011139836 -0.402839619881486 -0.00515127065869639 0 2 1.30769230769231 2.10344827586207 d d 19.3333333333333 dd 0.003424658 0.010273973 1 3
2008-08-02 SE_Pelorus SE-Q1 1 BBD.105 693 3 -1.73619272390466 -0.800567982608527 -1.19915119068034 -0.675331907687587 -0.537041533224327 -0.12523607492094 0.5 1.72727272727273 3.5 2.33333333333333 t r 23.1 rt 0 0.007936508 0 2
2008-11-15 SE_Pelorus SE-Q1 1 BBD.105 798 3 0.191371337046644 1.34041785942879 -0.642890745457809 0.652975336742541 0.834262082504453 0.687442522686254 1.5 4 0.25 0.69811320754717 r c 26.6 cr 0.012096774 0.024193548 3 6
2008-12-15 SE_Pelorus SE-Q1 1 BBD.105 828 3 0.855047734228362 1.12566804772126 0.188189426831929 1.10082955948732 0.666858307396433 0.0248384882339385 2.75 4 0.323529411764706 2.21428571428571 r c 27.6 cr 0.014760148 0.018450185 4 5
2009-01-07 SE_Pelorus SE-Q1 1 BBD.105 851 3 1.07331903144803 0.976519023592452 0.616693872577171 1.10940643645191 0.456625158870859 -0.132887412859455 2.75 2.33333333333333 0.384615384615385 2.91304347826087 c c 28.3666666666667 cc 0.012820513 0.012820513 4 4
2006-09-09 SE_Pelorus SE-Q1 1 BBD.106 0 NA -1.38760290794425 -0.466272823156991 -1.49245708247325 -0.798158440552296 0.104854174529007 0.331885617395305 1 1.30769230769231 0.323529411764706 0.363636363636364 r r 0 rr 0 0 0 0
2006-10-14 SE_Pelorus SE-Q1 1 BBD.106 35 3 -1.05045248996165 -0.0474934076010902 -1.31388381400044 -0.358858676633027 0.263431324038795 0.311365269031937 0 0.5 0 0.125 r r 1.16666666666667 rr 0 0.020512821 0 4
2006-12-16 SE_Pelorus SE-Q1 3 BBD.106 98 3 0.222132265592223 0.383824643886021 -0.357131558772873 0.281111024663893 0.579263824365095 0.102713619222128 0 0.666666666666667 0 0.451612903225806 r c 3.26666666666667 cr 0.021621622 0.054054054 4 10
2007-01-20 SE_Pelorus SE-Q1 3 BBD.106 133 3 0.876332245477104 0.19937194332214 0.343013428375369 0.392465933030082 0.533318817101735 -0.193093989707942 0.153846153846154 1 0.0465116279069767 1.57142857142857 c c 4.43333333333333 cc 0.089171975 0.025477707 14 4
2007-04-21 SE_Pelorus SE-Q1 1 BBD.106 224 3 0.461474195714969 -0.449290811328401 0.720816210412629 -0.441105381491365 -0.25934201469766 -0.00818542983703596 1.14285714285714 0.666666666666667 3.73684210526316 0.836734693877551 d d 7.46666666666667 dd 0 0.010714286 0 3
2007-05-20 SE_Pelorus SE-Q1 1 BBD.106 253 NA 0.0252650348616315 -0.6871692215168 0.445309554780044 -0.467546891457576 -0.420044519918412 -0.219622330059225 2.33333333333333 1.72727272727273 5 2.6 d t 8.43333333333333 td 0.002915452 0.011661808 1 4
2007-07-15 SE_Pelorus SE-Q1 1 BBD.106 309 NA -1.62529774701202 -1.3602029163437 -0.657938950821159 -1.05935413796322 -0.967358796190866 -0.300848778380481 0.304347826086957 1.30769230769231 2.91304347826087 1.90322580645161 t t 10.3 tt 0 0.009202454 0 3
2007-09-21 SE_Pelorus SE-Q1 1 BBD.106 377 NA -1.15432434233251 -0.291472211181665 -1.59090762000358 -0.781813928483692 0.436583277671075 0.490341717302027 0.5 0.764705882352941 0.125 0.184210526315789 r r 12.5666666666667 rr 0.003984064 0.03187251 1 8
2007-11-23 SE_Pelorus SE-Q1 1 BBD.106 440 3 0.310561272289882 1.22470473568013 -0.357510486128557 0.501497512766922 0.668071758418439 0.723207222913206 1.72727272727273 6.5 0.267605633802817 0.836734693877551 r c 14.6666666666667 cr 0.0078125 0.01953125 2 5
2008-01-21 SE_Pelorus SE-Q1 3 BBD.106 499 3 1.20937228597364 0.439667036540586 0.801871562058842 0.960796300508407 0.407500723914801 -0.521129263967821 6.5 1.5 0.636363636363636 4.29411764705882 c c 16.6333333333333 cc 0.040160643 0.004016064 10 1
2008-02-05 SE_Pelorus SE-Q1 1 BBD.106 514 NA 1.20521670407857 0.330438690058734 0.984605804081454 0.809385779377283 0.220610899997115 -0.478947089318549 1.5 1.5 0.578947368421053 3.73684210526316 c d 17.1333333333333 dc 0.040160643 0.004016064 10 1
2008-03-21 SE_Pelorus SE-Q1 1 BBD.106 559 3 0.61248970066897 0.0396007683675116 0.992700848233923 0.209616858171386 -0.380211147564953 -0.170016089803874 0.2 1.30769230769231 2.33333333333333 1.8125 d d 18.6333333333333 dd 0 0.0041841 0 1
2008-04-11 SE_Pelorus SE-Q1 1 BBD.106 580 3 0.407903192487344 0.134013740481139 0.81074281236883 0.139165011139836 -0.402839619881486 -0.00515127065869639 0 2 1.30769230769231 2.10344827586207 d d 19.3333333333333 dd 0.003424658 0.010273973 1 3
2008-08-02 SE_Pelorus SE-Q1 1 BBD.106 693 3 -1.73619272390466 -0.800567982608527 -1.19915119068034 -0.675331907687587 -0.537041533224327 -0.12523607492094 0.5 1.72727272727273 3.5 2.33333333333333 t r 23.1 rt 0 0.007936508 0 2
2008-11-15 SE_Pelorus SE-Q1 1 BBD.106 798 3 0.191371337046644 1.34041785942879 -0.642890745457809 0.652975336742541 0.834262082504453 0.687442522686254 1.5 4 0.25 0.69811320754717 r c 26.6 cr 0.012096774 0.024193548 3 6
2008-12-15 SE_Pelorus SE-Q1 1 BBD.106 828 3 0.855047734228362 1.12566804772126 0.188189426831929 1.10082955948732 0.666858307396433 0.0248384882339385 2.75 4 0.323529411764706 2.21428571428571 r c 27.6 cr 0.014760148 0.018450185 4 5
2009-01-07 SE_Pelorus SE-Q1 1 BBD.106 851 3 1.07331903144803 0.976519023592452 0.616693872577171 1.10940643645191 0.456625158870859 -0.132887412859455 2.75 2.33333333333333 0.384615384615385 2.91304347826087 c c 28.3666666666667 cc 0.012820513 0.012820513 4 4
2006-09-09 SE_Pelorus SE-Q1 1 BBD.107 0 NA -1.38760290794425 -0.466272823156991 -1.49245708247325 -0.798158440552296 0.104854174529007 0.331885617395305 1 1.30769230769231 0.323529411764706 0.363636363636364 r r 0 rr 0 0 0 0
2006-10-14 SE_Pelorus SE-Q1 1 BBD.107 35 3 -1.05045248996165 -0.0474934076010902 -1.31388381400044 -0.358858676633027 0.263431324038795 0.311365269031937 0 0.5 0 0.125 r r 1.16666666666667 rr 0 0.020512821 0 4
2006-12-16 SE_Pelorus SE-Q1 1 BBD.107 98 3 0.222132265592223 0.383824643886021 -0.357131558772873 0.281111024663893 0.579263824365095 0.102713619222128 0 0.666666666666667 0 0.451612903225806 r c 3.26666666666667 cr 0.021621622 0.054054054 4 10
2007-01-20 SE_Pelorus SE-Q1 3 BBD.107 133 3 0.876332245477104 0.19937194332214 0.343013428375369 0.392465933030082 0.533318817101735 -0.193093989707942 0.153846153846154 1 0.0465116279069767 1.57142857142857 c c 4.43333333333333 cc 0.089171975 0.025477707 14 4
2007-04-21 SE_Pelorus SE-Q1 1 BBD.107 224 3 0.461474195714969 -0.449290811328401 0.720816210412629 -0.441105381491365 -0.25934201469766 -0.00818542983703596 1.14285714285714 0.666666666666667 3.73684210526316 0.836734693877551 d d 7.46666666666667 dd 0 0.010714286 0 3
2007-05-20 SE_Pelorus SE-Q1 1 BBD.107 253 NA 0.0252650348616315 -0.6871692215168 0.445309554780044 -0.467546891457576 -0.420044519918412 -0.219622330059225 2.33333333333333 1.72727272727273 5 2.6 d t 8.43333333333333 td 0.002915452 0.011661808 1 4
2007-07-15 SE_Pelorus SE-Q1 1 BBD.107 309 NA -1.62529774701202 -1.3602029163437 -0.657938950821159 -1.05935413796322 -0.967358796190866 -0.300848778380481 0.304347826086957 1.30769230769231 2.91304347826087 1.90322580645161 t t 10.3 tt 0 0.009202454 0 3
2007-09-21 SE_Pelorus SE-Q1 1 BBD.107 377 NA -1.15432434233251 -0.291472211181665 -1.59090762000358 -0.781813928483692 0.436583277671075 0.490341717302027 0.5 0.764705882352941 0.125 0.184210526315789 r r 12.5666666666667 rr 0.003984064 0.03187251 1 8
2007-11-23 SE_Pelorus SE-Q1 1 BBD.107 440 3 0.310561272289882 1.22470473568013 -0.357510486128557 0.501497512766922 0.668071758418439 0.723207222913206 1.72727272727273 6.5 0.267605633802817 0.836734693877551 r c 14.6666666666667 cr 0.0078125 0.01953125 2 5
2008-01-21 SE_Pelorus SE-Q1 1 BBD.107 499 3 1.20937228597364 0.439667036540586 0.801871562058842 0.960796300508407 0.407500723914801 -0.521129263967821 6.5 1.5 0.636363636363636 4.29411764705882 c c 16.6333333333333 cc 0.040160643 0.004016064 10 1
2008-02-05 SE_Pelorus SE-Q1 3 BBD.107 514 NA 1.20521670407857 0.330438690058734 0.984605804081454 0.809385779377283 0.220610899997115 -0.478947089318549 1.5 1.5 0.578947368421053 3.73684210526316 c d 17.1333333333333 dc 0.040160643 0.004016064 10 1
2008-03-21 SE_Pelorus SE-Q1 1 BBD.107 559 3 0.61248970066897 0.0396007683675116 0.992700848233923 0.209616858171386 -0.380211147564953 -0.170016089803874 0.2 1.30769230769231 2.33333333333333 1.8125 d d 18.6333333333333 dd 0 0.0041841 0 1
2008-04-11 SE_Pelorus SE-Q1 1 BBD.107 580 3 0.407903192487344 0.134013740481139 0.81074281236883 0.139165011139836 -0.402839619881486 -0.00515127065869639 0 2 1.30769230769231 2.10344827586207 d d 19.3333333333333 dd 0.003424658 0.010273973 1 3
2008-08-02 SE_Pelorus SE-Q1 1 BBD.107 693 3 -1.73619272390466 -0.800567982608527 -1.19915119068034 -0.675331907687587 -0.537041533224327 -0.12523607492094 0.5 1.72727272727273 3.5 2.33333333333333 t r 23.1 rt 0 0.007936508 0 2
2008-11-15 SE_Pelorus SE-Q1 1 BBD.107 798 3 0.191371337046644 1.34041785942879 -0.642890745457809 0.652975336742541 0.834262082504453 0.687442522686254 1.5 4 0.25 0.69811320754717 r c 26.6 cr 0.012096774 0.024193548 3 6
2008-12-15 SE_Pelorus SE-Q1 1 BBD.107 828 3 0.855047734228362 1.12566804772126 0.188189426831929 1.10082955948732 0.666858307396433 0.0248384882339385 2.75 4 0.323529411764706 2.21428571428571 r c 27.6 cr 0.014760148 0.018450185 4 5
2009-01-07 SE_Pelorus SE-Q1 1 BBD.107 851 3 1.07331903144803 0.976519023592452 0.616693872577171 1.10940643645191 0.456625158870859 -0.132887412859455 2.75 2.33333333333333 0.384615384615385 2.91304347826087 c c 28.3666666666667 cc 0.012820513 0.012820513 4 4
2006-09-09 SE_Pelorus SE-Q1 1 BBD.108 0 NA -1.38760290794425 -0.466272823156991 -1.49245708247325 -0.798158440552296 0.104854174529007 0.331885617395305 1 1.30769230769231 0.323529411764706 0.363636363636364 r r 0 rr 0 0 0 0
2006-10-14 SE_Pelorus SE-Q1 1 BBD.108 35 3 -1.05045248996165 -0.0474934076010902 -1.31388381400044 -0.358858676633027 0.263431324038795 0.311365269031937 0 0.5 0 0.125 r r 1.16666666666667 rr 0 0.020512821 0 4
2006-12-16 SE_Pelorus SE-Q1 1 BBD.108 98 3 0.222132265592223 0.383824643886021 -0.357131558772873 0.281111024663893 0.579263824365095 0.102713619222128 0 0.666666666666667 0 0.451612903225806 r c 3.26666666666667 cr 0.021621622 0.054054054 4 10
2007-01-20 SE_Pelorus SE-Q1 3 BBD.108 133 3 0.876332245477104 0.19937194332214 0.343013428375369 0.392465933030082 0.533318817101735 -0.193093989707942 0.153846153846154 1 0.0465116279069767 1.57142857142857 c c 4.43333333333333 cc 0.089171975 0.025477707 14 4
2007-04-21 SE_Pelorus SE-Q1 1 BBD.108 224 3 0.461474195714969 -0.449290811328401 0.720816210412629 -0.441105381491365 -0.25934201469766 -0.00818542983703596 1.14285714285714 0.666666666666667 3.73684210526316 0.836734693877551 d d 7.46666666666667 dd 0 0.010714286 0 3
2007-05-20 SE_Pelorus SE-Q1 1 BBD.108 253 NA 0.0252650348616315 -0.6871692215168 0.445309554780044 -0.467546891457576 -0.420044519918412 -0.219622330059225 2.33333333333333 1.72727272727273 5 2.6 d t 8.43333333333333 td 0.002915452 0.011661808 1 4
2007-07-15 SE_Pelorus SE-Q1 4 BBD.108 309 NA -1.62529774701202 -1.3602029163437 -0.657938950821159 -1.05935413796322 -0.967358796190866 -0.300848778380481 0.304347826086957 1.30769230769231 2.91304347826087 1.90322580645161 t t 10.3 tt 0 0.009202454 0 3
2006-09-09 SE_Pelorus SE-Q2 1 BBD.109 0 NA -1.38760290794425 -0.466272823156991 -1.49245708247325 -0.798158440552296 0.104854174529007 0.331885617395305 1 1.30769230769231 0.323529411764706 0.363636363636364 r r 0 rr 0.005524862 0.011049724 1 2
2006-10-14 SE_Pelorus SE-Q2 1 BBD.109 35 3 -1.05045248996165 -0.0474934076010902 -1.31388381400044 -0.358858676633027 0.263431324038795 0.311365269031937 0 0.5 0 0.125 r r 1.16666666666667 rr 0.013986014 0.076923077 2 11
2006-12-16 SE_Pelorus SE-Q2 1 BBD.109 98 3 0.222132265592223 0.383824643886021 -0.357131558772873 0.281111024663893 0.579263824365095 0.102713619222128 0 0.666666666666667 0 0.451612903225806 r c 3.26666666666667 cr 0.068062827 0.094240838 13 18
2007-01-20 SE_Pelorus SE-Q2 3 BBD.109 133 3 0.876332245477104 0.19937194332214 0.343013428375369 0.392465933030082 0.533318817101735 -0.193093989707942 0.153846153846154 1 0.0465116279069767 1.57142857142857 c c 4.43333333333333 cc 0.2 0.09375 32 15
2007-04-21 SE_Pelorus SE-Q2 3 BBD.109 224 3 0.461474195714969 -0.449290811328401 0.720816210412629 -0.441105381491365 -0.25934201469766 -0.00818542983703596 1.14285714285714 0.666666666666667 3.73684210526316 0.836734693877551 d d 7.46666666666667 dd 0.016806723 0.012605042 4 3
2007-05-20 SE_Pelorus SE-Q2 3 BBD.109 253 NA 0.0252650348616315 -0.6871692215168 0.445309554780044 -0.467546891457576 -0.420044519918412 -0.219622330059225 2.33333333333333 1.72727272727273 5 2.6 d t 8.43333333333333 td 0.029166667 0.025 7 6
2007-07-15 SE_Pelorus SE-Q2 1 BBD.109 309 NA -1.62529774701202 -1.3602029163437 -0.657938950821159 -1.05935413796322 -0.967358796190866 -0.300848778380481 0.304347826086957 1.30769230769231 2.91304347826087 1.90322580645161 t t 10.3 tt 0.00990099 0.02310231 3 7
2007-09-21 SE_Pelorus SE-Q2 1 BBD.109 377 NA -1.15432434233251 -0.291472211181665 -1.59090762000358 -0.781813928483692 0.436583277671075 0.490341717302027 0.5 0.764705882352941 0.125 0.184210526315789 r r 12.5666666666667 rr 0.007722008 0.054054054 2 14
2007-11-23 SE_Pelorus SE-Q2 1 BBD.109 440 3 0.310561272289882 1.22470473568013 -0.357510486128557 0.501497512766922 0.668071758418439 0.723207222913206 1.72727272727273 6.5 0.267605633802817 0.836734693877551 r c 14.6666666666667 cr 0.04290429 0.04620462 13 14
2008-01-21 SE_Pelorus SE-Q2 1 BBD.109 499 3 1.20937228597364 0.439667036540586 0.801871562058842 0.960796300508407 0.407500723914801 -0.521129263967821 6.5 1.5 0.636363636363636 4.29411764705882 c c 16.6333333333333 cc 0.068965517 0.053639847 18 14
2008-02-05 SE_Pelorus SE-Q2 1 BBD.109 514 NA 1.20521670407857 0.330438690058734 0.984605804081454 0.809385779377283 0.220610899997115 -0.478947089318549 1.5 1.5 0.578947368421053 3.73684210526316 c d 17.1333333333333 dc 0.053639847 0.011494253 14 3
2008-03-21 SE_Pelorus SE-Q2 1 BBD.109 559 3 0.61248970066897 0.0396007683675116 0.992700848233923 0.209616858171386 -0.380211147564953 -0.170016089803874 0.2 1.30769230769231 2.33333333333333 1.8125 d d 18.6333333333333 dd 0 0 0 0
2008-04-11 SE_Pelorus SE-Q2 1 BBD.109 580 3 0.407903192487344 0.134013740481139 0.81074281236883 0.139165011139836 -0.402839619881486 -0.00515127065869639 0 2 1.30769230769231 2.10344827586207 d d 19.3333333333333 dd 0 0.009803922 0 3
2008-08-02 SE_Pelorus SE-Q2 1 BBD.109 693 3 -1.73619272390466 -0.800567982608527 -1.19915119068034 -0.675331907687587 -0.537041533224327 -0.12523607492094 0.5 1.72727272727273 3.5 2.33333333333333 t r 23.1 rt 0 0.013452915 0 3
2008-11-15 SE_Pelorus SE-Q2 1 BBD.109 798 3 0.191371337046644 1.34041785942879 -0.642890745457809 0.652975336742541 0.834262082504453 0.687442522686254 1.5 4 0.25 0.69811320754717 r c 26.6 cr 0.01532567 0.038314176 4 10
2008-12-15 SE_Pelorus SE-Q2 1 BBD.109 828 3 0.855047734228362 1.12566804772126 0.188189426831929 1.10082955948732 0.666858307396433 0.0248384882339385 2.75 4 0.323529411764706 2.21428571428571 r c 27.6 cr 0.014705882 0.040441176 4 11
2009-01-07 SE_Pelorus SE-Q2 1 BBD.109 851 3 1.07331903144803 0.976519023592452 0.616693872577171 1.10940643645191 0.456625158870859 -0.132887412859455 2.75 2.33333333333333 0.384615384615385 2.91304347826087 c c 28.3666666666667 cc 0.049327354 0.035874439 11 8
2006-09-09 SE_Pelorus SE-Q1 1 BBD.114 0 NA -1.38760290794425 -0.466272823156991 -1.49245708247325 -0.798158440552296 0.104854174529007 0.331885617395305 1 1.30769230769231 0.323529411764706 0.363636363636364 r r 0 rr 0 0 0 0
2006-10-14 SE_Pelorus SE-Q1 1 BBD.114 35 3 -1.05045248996165 -0.0474934076010902 -1.31388381400044 -0.358858676633027 0.263431324038795 0.311365269031937 0 0.5 0 0.125 r r 1.16666666666667 rr 0 0.020512821 0 4
2006-12-16 SE_Pelorus SE-Q1 1 BBD.114 98 3 0.222132265592223 0.383824643886021 -0.357131558772873 0.281111024663893 0.579263824365095 0.102713619222128 0 0.666666666666667 0 0.451612903225806 r c 3.26666666666667 cr 0.021621622 0.054054054 4 10
2007-01-20 SE_Pelorus SE-Q1 1 BBD.114 133 3 0.876332245477104 0.19937194332214 0.343013428375369 0.392465933030082 0.533318817101735 -0.193093989707942 0.153846153846154 1 0.0465116279069767 1.57142857142857 c c 4.43333333333333 cc 0.089171975 0.025477707 14 4
2007-04-21 SE_Pelorus SE-Q1 1 BBD.114 224 3 0.461474195714969 -0.449290811328401 0.720816210412629 -0.441105381491365 -0.25934201469766 -0.00818542983703596 1.14285714285714 0.666666666666667 3.73684210526316 0.836734693877551 d d 7.46666666666667 dd 0 0.010714286 0 3
2007-05-20 SE_Pelorus SE-Q1 3 BBD.114 253 NA 0.0252650348616315 -0.6871692215168 0.445309554780044 -0.467546891457576 -0.420044519918412 -0.219622330059225 2.33333333333333 1.72727272727273 5 2.6 d t 8.43333333333333 td 0.002915452 0.011661808 1 4
2007-07-15 SE_Pelorus SE-Q1 1 BBD.114 309 NA -1.62529774701202 -1.3602029163437 -0.657938950821159 -1.05935413796322 -0.967358796190866 -0.300848778380481 0.304347826086957 1.30769230769231 2.91304347826087 1.90322580645161 t t 10.3 tt 0 0.009202454 0 3
2007-09-21 SE_Pelorus SE-Q1 1 BBD.114 377 NA -1.15432434233251 -0.291472211181665 -1.59090762000358 -0.781813928483692 0.436583277671075 0.490341717302027 0.5 0.764705882352941 0.125 0.184210526315789 r r 12.5666666666667 rr 0.003984064 0.03187251 1 8
